column_number,column_name,contents,notes
1,parcel_id,LandIQ parcel id,same overlay grain as assigned_year=Y.parquet; remaining identity and QC columns match phenology/match/data/assigned_year_metadata.csv
2,year,assigned calendar year,
3,season,LandIQ season for this crop row,
4,assigned_by,how the match row was produced,"matched | no_mslsp | no_match; gap-fill does not change this"
5,gapfill_date_source,how date metrics on this row were obtained,"mslsp = any date metric was observed; lm_adoy = CLASS intercept + ADOY slope; mean_crop = CLASS x SUBCLASS x PFT / CLASS x PFT / CLASS / global mean; none = not filled (idle/other or no match in tables)"
6,mslsp_OGI,greenup onset date,kept if observed; else filled for crop PFTs
7,mslsp_50PCGI,50% greenup date,kept if observed; else filled
8,mslsp_OGMx,mid greenup date,kept if observed; else filled
9,mslsp_Peak,peak greenness date,kept if observed; else filled
10,mslsp_OGD,onset of green decrease date,kept if observed; else filled
11,mslsp_50PCGD,50% greendown date,kept if observed; else filled
12,mslsp_OGMn,onset of greenness minimum date,kept if observed; else filled
13,mslsp_EVImax,peak EVI,kept if observed; else filled
14,mslsp_EVIamp,EVI amplitude,kept if observed; else filled
15,mslsp_EVIarea,EVI area under curve,kept if observed; else filled
